ID,NAME,STATE,STATUS,POSTALCODE,IDSAP,DISTRIBUTOR,CITY,BILLINGLATITUDE,BILLINGLONGITUDE,TYPE,litDem
0010900001dLalZAAS,LO COSCOLL,TERUEL,En Desarrollo Activo,44596,8100401440.0,D-0318,LA FRESNEDA,40.928852,0.074765,Account,482
0010900001dLb4UAAS,SEBASTIAN FRAU E HIJOS,ILLES BALEARS,En Desarrollo Activo,7500,8100401401.0,D-0215,MANACOR,39.564373,3.207072,Account,1245
0010900001dNIVNAA4,IPANEMA ALBIR,ALICANTE,En Desarrollo Activo,3580,8100403596.0,D-0357,L'ALFAS DEL PI,38.581216,-0.094457,Account,1192
0010900001dLcvSAAS,D Carlos,SANTA CRUZ DE TENERIFE,En Desarrollo Activo,38003,8100401478.0,D-0372,SANTA CRUZ DE TENERIFE,28.461368,-16.252204,Account,1437
0010900001zJPthAAG,TAPA TAPA MADRID,MADRID,En Desarrollo Activo,28013,8100267060.0,,MADRID,40.419708,-3.70186,Account,1158
0010900001dLbtqAAC,AL SOLITO POSTO,VALENCIA,En Desarrollo Activo,46023,,,VALENCIA,39.457191,-0.348853,Account,1096
0010900001dLclZAAS,GALA URBAN FOOD S.L,BARCELONA,En Desarrollo Activo,8800,8100401479.0,D-0246,VILANOVA I LA GELTRU,41.237603,1.729729,Account,1141
0010900001dLdSgAAK,BAR PAJARES,ZARAGOZA,En Desarrollo Activo,50682,8100401515.0,D-0292,SIGUES,42.630671,-1.012371,Account,815
0010900001dLc9TAAS,PATAGONICO MIRASIERRA N,MADRID,En Desarrollo Activo,28034,8100401430.0,D-0203,MADRID,40.493664,-3.713743,Account,947
0010900001qWm32AAC,COVALBE,VALENCIA,En Desarrollo Activo,46007,8100410326.0,D-0208,VALENCIA,39.456809,-0.389249,Account,1452
0010900001q2hDPAAY,HOTELHER,BARCELONA,En Desarrollo Activo,8711,8100410281.0,D-0227,ODENA,41.599383,1.590213,Account,1084
0010900001zOEvcAAG,TAPA TAPA 2,BARCELONA,En Desarrollo Activo,8039,8100278460.0,,BARCELONA,41.353144,2.166698,Account,1216
0010900001qWoGvAAK,EF EDUCATION,MADRID,En Desarrollo Activo,28001,8100410354.0,D-0018,MADRID,40.423893,-3.685166,Account,788
0010900001qWgclAAC,PANADERIA BEATRIZ,ALICANTE,En Desarrollo Activo,3400,8100410325.0,D-0288,VILLENA,38.646196,-0.869125,Account,1352
0010900001qWrQNAA0,Elastik,BARCELONA,En Desarrollo Activo,8302,8100410356.0,D-0212,MATARO,41.532479,2.434203,Account,984
0010900001muJ44AAE,LOULU BISTRO,MALAGA,En Desarrollo Activo,29200,8100409692.0,,ANTEQUERA,37.016212,-4.559117,Account,1427
0010900001qWwQ0AAK,Bar Acueducto,SEGOVIA,En Desarrollo Activo,40190,8100410328.0,D-0072,BERNUY DE PORREROS,40.999823,-4.116731,Account,1247
0010900001qWffpAAC,CAFETERIA VIRAL,ALICANTE,En Desarrollo Activo,3201,8100410923.0,D-0265,ELCHE-ELX,38.265449,-0.707671,Account,1085
0010900001ssPpqAAE,LA CASA DEL POETA CAFETERIA,CACERES,En Desarrollo Activo,10003,8100411309.0,D-0010,CACERES,39.465839,-6.375377,Account,837
0010900001ssUdDAAU,LA PERRERIA,CASTELLON,En Desarrollo Activo,12001,8100411672.0,D-0031,CASTELLON DE LA PLANA-CASTELLO PLANA,39.98664,-0.03907,Account,826
0010900001qWdOkAAK,ALMA,LAS PALMAS,En Desarrollo Activo,35660,8100410317.0,D-0372,LA OLIVA,28.736637,-13.868829,Account,1415
0010900001qWoCpAAK,OGI BERRI TXARA,GUIPUZCOA,En Desarrollo Activo,20180,8100410327.0,D-0015,OIARTZUN,43.298848,-1.866689,Account,367
0010900001qWhgQAAS,Ventas contado 3,ALICANTE,En Desarrollo Activo,3400,,,VILLENA,38.58015,-0.907184,Account,1088
0010900001r811PAAQ,Casa Gallega El Rey del Bacalao,VALENCIA,En Desarrollo Activo,46020,8100410419.0,D-0208,VALENCIA,39.485411,-0.354001,Account,1296
0010900001mrfu2AAA,BAR LA TABERNA,BARCELONA,,8100,8100268795.0,,MOLLET DEL VALLES,41.534162,2.21405,Account,303
0010900001mrfn9AAA,IVAN PEREZ HARO,BARCELONA,,8107,8100240165.0,,MARTORELLES,41.536585,2.23589,Account,1168
0010900001uABGgAAO,hogar jubilados La cistérniga,VALLADOLID,En Desarrollo Activo,47193,8100412099.0,D-0059,CISTERNIGA,41.597273,-4.651618,Account,398
0010900001qWxxbAAC,EL RINCON DE SADA,MALAGA,En Desarrollo Activo,29712,8100410320.0,D-0216,VIÑUELA,36.865806,-4.142851,Account,531
0010900001qWkvOAAS,Cafetal,VALLADOLID,En Desarrollo Activo,47011,8100410343.0,D-0059,VALLADOLID,41.660969,-4.708076,Account,1490
0010900001qWdNXAA0,Casa Fernando II,ASTURIAS,En Desarrollo Activo,33155,8100410322.0,D-0232,CUDILLERO,43.561385,-6.180083,Account,968
0010900001q2HBgAAM,Xuna gozotegia gurmendi,GUIPUZCOA,En Desarrollo Activo,20800,8100410307.0,D-0015,ZARAUTZ,43.266789,-2.178145,Account,1377
